State, Path, Depth, Distance From Goal
"open_a, open_a, open_a, open_a, signal_a_b, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_b_signal_a_c.dot,6,-1
"open_a, open_a, open_a, open_a, signal_a_b, signal_b_c",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_b_signal_b_c.dot,6,-1
"open_a, open_a, open_a, open_a, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_b.dot,5,1
"open_a, open_a, open_a, open_a, signal_a_c, distract_a_c",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_c_distract_a_c.dot,6,-1
"open_a, open_a, open_a, open_a, signal_a_c, distract_c_a",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_c_distract_c_a.dot,6,-1
"open_a, open_a, open_a, open_a, signal_a_c, open_a",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_c_open_a.dot,6,-1
"open_a, open_a, open_a, open_a, signal_a_c, peek_a",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_c_peek_a.dot,6,0
"open_a, open_a, open_a, open_a, signal_a_c, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_c_signal_a_b.dot,6,-1
"open_a, open_a, open_a, open_a, signal_a_c, signal_c_b",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_c_signal_c_b.dot,6,-1
"open_a, open_a, open_a, open_a, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_c.dot,5,1
"open_a, open_a, open_a, open_a",out/state/ex_poss/open_a_open_a_open_a_open_a.dot,4,1
"open_a, open_a, open_a, peek_a, open_a, open_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_open_a_open_a.dot,6,0
"open_a, open_a, open_a, peek_a, open_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_open_a_peek_a.dot,6,0
"open_a, open_a, open_a, peek_a, open_a, shout_tail_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_open_a_shout_tail_a.dot,6,0
"open_a, open_a, open_a, peek_a, open_a, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_peek_a_open_a_signal_a_b.dot,6,0
"open_a, open_a, open_a, peek_a, open_a, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_peek_a_open_a_signal_a_c.dot,6,0
"open_a, open_a, open_a, peek_a, open_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_open_a.dot,5,0
"open_a, open_a, open_a, peek_a, peek_a, open_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_peek_a_open_a.dot,6,0
"open_a, open_a, open_a, peek_a, peek_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_peek_a_peek_a.dot,6,0
"open_a, open_a, open_a, peek_a, peek_a, shout_tail_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_peek_a_shout_tail_a.dot,6,0
"open_a, open_a, open_a, peek_a, peek_a, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_peek_a_peek_a_signal_a_b.dot,6,0
"open_a, open_a, open_a, peek_a, peek_a, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_peek_a_peek_a_signal_a_c.dot,6,0
"open_a, open_a, open_a, peek_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_peek_a.dot,5,0
"open_a, open_a, open_a, peek_a, shout_tail_a, open_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_shout_tail_a_open_a.dot,6,0
"open_a, open_a, open_a, peek_a, shout_tail_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_shout_tail_a_peek_a.dot,6,0
"open_a, open_a, open_a, peek_a, shout_tail_a, shout_tail_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_shout_tail_a_shout_tail_a.dot,6,0
"open_a, open_a, open_a, peek_a, shout_tail_a, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_peek_a_shout_tail_a_signal_a_b.dot,6,0
"open_a, open_a, open_a, peek_a, shout_tail_a, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_peek_a_shout_tail_a_signal_a_c.dot,6,0
"open_a, open_a, open_a, peek_a, shout_tail_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_shout_tail_a.dot,5,0
"open_a, open_a, open_a, peek_a, signal_a_b, distract_a_b",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_b_distract_a_b.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_b, distract_b_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_b_distract_b_a.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_b, open_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_b_open_a.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_b, peek_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_b_peek_a.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_b, shout_tail_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_b_shout_tail_a.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_b, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_b_signal_a_c.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_b, signal_b_c",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_b_signal_b_c.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_b.dot,5,0
"open_a, open_a, open_a, peek_a, signal_a_c, distract_a_c",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_c_distract_a_c.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_c, distract_c_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_c_distract_c_a.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_c, open_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_c_open_a.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_c, peek_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_c_peek_a.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_c, shout_tail_a",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_c_shout_tail_a.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_c, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_c_signal_a_b.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_c, signal_c_b",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_c_signal_c_b.dot,6,0
"open_a, open_a, open_a, peek_a, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_peek_a_signal_a_c.dot,5,0
"open_a, open_a, open_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_peek_a.dot,4,0
"open_a, open_a, open_a, signal_a_b, distract_a_b, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_distract_a_b_open_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, distract_a_b, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_distract_a_b_peek_a.dot,6,0
"open_a, open_a, open_a, signal_a_b, distract_a_b, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_distract_a_b_signal_a_b.dot,6,-1
"open_a, open_a, open_a, signal_a_b, distract_a_b, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_distract_a_b_signal_a_c.dot,6,-1
"open_a, open_a, open_a, signal_a_b, distract_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_distract_a_b.dot,5,1
"open_a, open_a, open_a, signal_a_b, distract_b_a, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_distract_b_a_open_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, distract_b_a, signal_b_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_distract_b_a_signal_b_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, distract_b_a, signal_b_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_distract_b_a_signal_b_c.dot,6,-1
"open_a, open_a, open_a, signal_a_b, distract_b_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_distract_b_a.dot,5,-1
"open_a, open_a, open_a, signal_a_b, open_a, distract_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_open_a_distract_a_b.dot,6,-1
"open_a, open_a, open_a, signal_a_b, open_a, distract_b_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_open_a_distract_b_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, open_a, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_open_a_open_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, open_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_open_a_peek_a.dot,6,0
"open_a, open_a, open_a, signal_a_b, open_a, peek_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_open_a_peek_b.dot,6,-1
"open_a, open_a, open_a, signal_a_b, open_a, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_open_a_signal_a_c.dot,6,-1
"open_a, open_a, open_a, signal_a_b, open_a, signal_b_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_open_a_signal_b_c.dot,6,-1
"open_a, open_a, open_a, signal_a_b, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_open_a.dot,5,1
"open_a, open_a, open_a, signal_a_b, peek_a, distract_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_peek_a_distract_a_b.dot,6,0
"open_a, open_a, open_a, signal_a_b, peek_a, distract_b_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_peek_a_distract_b_a.dot,6,0
"open_a, open_a, open_a, signal_a_b, peek_a, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_peek_a_open_a.dot,6,0
"open_a, open_a, open_a, signal_a_b, peek_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_peek_a_peek_a.dot,6,0
"open_a, open_a, open_a, signal_a_b, peek_a, shout_tail_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_peek_a_shout_tail_a.dot,6,0
"open_a, open_a, open_a, signal_a_b, peek_a, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_peek_a_signal_a_c.dot,6,0
"open_a, open_a, open_a, signal_a_b, peek_a, signal_b_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_peek_a_signal_b_c.dot,6,0
"open_a, open_a, open_a, signal_a_b, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_peek_a.dot,5,0
"open_a, open_a, open_a, signal_a_b, signal_a_c, distract_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_a_c_distract_a_b.dot,6,-1
"open_a, open_a, open_a, signal_a_b, signal_a_c, distract_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_a_c_distract_a_c.dot,6,-1
"open_a, open_a, open_a, signal_a_b, signal_a_c, distract_b_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_a_c_distract_b_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, signal_a_c, distract_c_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_a_c_distract_c_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, signal_a_c, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_a_c_open_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, signal_a_c, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_a_c_peek_a.dot,6,0
"open_a, open_a, open_a, signal_a_b, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_a_c.dot,5,1
"open_a, open_a, open_a, signal_a_b, signal_b_c, distract_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_b_c_distract_a_b.dot,6,-1
"open_a, open_a, open_a, signal_a_b, signal_b_c, distract_b_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_b_c_distract_b_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, signal_b_c, distract_b_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_b_c_distract_b_c.dot,6,-1
"open_a, open_a, open_a, signal_a_b, signal_b_c, distract_c_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_b_c_distract_c_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, signal_b_c, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_b_c_open_a.dot,6,-1
"open_a, open_a, open_a, signal_a_b, signal_b_c, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_b_c_peek_a.dot,6,0
"open_a, open_a, open_a, signal_a_b, signal_b_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_b_signal_b_c.dot,5,1
"open_a, open_a, open_a, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_b.dot,4,1
"open_a, open_a, open_a, signal_a_c, distract_a_c, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_distract_a_c_open_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, distract_a_c, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_distract_a_c_peek_a.dot,6,0
"open_a, open_a, open_a, signal_a_c, distract_a_c, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_distract_a_c_signal_a_b.dot,6,-1
"open_a, open_a, open_a, signal_a_c, distract_a_c, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_distract_a_c_signal_a_c.dot,6,-1
"open_a, open_a, open_a, signal_a_c, distract_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_distract_a_c.dot,5,1
"open_a, open_a, open_a, signal_a_c, distract_c_a, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_distract_c_a_open_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, distract_c_a, signal_c_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_distract_c_a_signal_c_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, distract_c_a, signal_c_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_distract_c_a_signal_c_b.dot,6,-1
"open_a, open_a, open_a, signal_a_c, distract_c_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_distract_c_a.dot,5,-1
"open_a, open_a, open_a, signal_a_c, open_a, distract_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_open_a_distract_a_c.dot,6,-1
"open_a, open_a, open_a, signal_a_c, open_a, distract_c_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_open_a_distract_c_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, open_a, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_open_a_open_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, open_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_open_a_peek_a.dot,6,0
"open_a, open_a, open_a, signal_a_c, open_a, peek_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_open_a_peek_c.dot,6,-1
"open_a, open_a, open_a, signal_a_c, open_a, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_open_a_signal_a_b.dot,6,-1
"open_a, open_a, open_a, signal_a_c, open_a, signal_c_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_open_a_signal_c_b.dot,6,-1
"open_a, open_a, open_a, signal_a_c, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_open_a.dot,5,1
"open_a, open_a, open_a, signal_a_c, peek_a, distract_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_peek_a_distract_a_c.dot,6,0
"open_a, open_a, open_a, signal_a_c, peek_a, distract_c_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_peek_a_distract_c_a.dot,6,0
"open_a, open_a, open_a, signal_a_c, peek_a, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_peek_a_open_a.dot,6,0
"open_a, open_a, open_a, signal_a_c, peek_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_peek_a_peek_a.dot,6,0
"open_a, open_a, open_a, signal_a_c, peek_a, shout_tail_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_peek_a_shout_tail_a.dot,6,0
"open_a, open_a, open_a, signal_a_c, peek_a, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_peek_a_signal_a_b.dot,6,0
"open_a, open_a, open_a, signal_a_c, peek_a, signal_c_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_peek_a_signal_c_b.dot,6,0
"open_a, open_a, open_a, signal_a_c, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_peek_a.dot,5,0
"open_a, open_a, open_a, signal_a_c, signal_a_b, distract_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_a_b_distract_a_b.dot,6,-1
"open_a, open_a, open_a, signal_a_c, signal_a_b, distract_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_a_b_distract_a_c.dot,6,-1
"open_a, open_a, open_a, signal_a_c, signal_a_b, distract_b_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_a_b_distract_b_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, signal_a_b, distract_c_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_a_b_distract_c_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, signal_a_b, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_a_b_open_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, signal_a_b, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_a_b_peek_a.dot,6,0
"open_a, open_a, open_a, signal_a_c, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_a_b.dot,5,1
"open_a, open_a, open_a, signal_a_c, signal_c_b, distract_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_c_b_distract_a_c.dot,6,-1
"open_a, open_a, open_a, signal_a_c, signal_c_b, distract_b_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_c_b_distract_b_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, signal_c_b, distract_c_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_c_b_distract_c_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, signal_c_b, distract_c_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_c_b_distract_c_b.dot,6,-1
"open_a, open_a, open_a, signal_a_c, signal_c_b, open_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_c_b_open_a.dot,6,-1
"open_a, open_a, open_a, signal_a_c, signal_c_b, peek_a",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_c_b_peek_a.dot,6,0
"open_a, open_a, open_a, signal_a_c, signal_c_b",out/state/ex_poss/open_a_open_a_open_a_signal_a_c_signal_c_b.dot,5,1
"open_a, open_a, open_a, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_signal_a_c.dot,4,1
"open_a, open_a, open_a",out/state/ex_poss/open_a_open_a_open_a.dot,3,1
"open_a, open_a, peek_a, open_a, open_a, open_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_open_a_open_a.dot,6,0
"open_a, open_a, peek_a, open_a, open_a, peek_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_open_a_peek_a.dot,6,0
"open_a, open_a, peek_a, open_a, open_a, shout_tail_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_open_a_shout_tail_a.dot,6,0
"open_a, open_a, peek_a, open_a, open_a, signal_a_b",out/state/ex_poss/open_a_open_a_peek_a_open_a_open_a_signal_a_b.dot,6,0
"open_a, open_a, peek_a, open_a, open_a, signal_a_c",out/state/ex_poss/open_a_open_a_peek_a_open_a_open_a_signal_a_c.dot,6,0
"open_a, open_a, peek_a, open_a, open_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_open_a.dot,5,0
"open_a, open_a, peek_a, open_a, peek_a, open_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_peek_a_open_a.dot,6,0
"open_a, open_a, peek_a, open_a, peek_a, peek_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_peek_a_peek_a.dot,6,0
"open_a, open_a, peek_a, open_a, peek_a, shout_tail_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_peek_a_shout_tail_a.dot,6,0
"open_a, open_a, peek_a, open_a, peek_a, signal_a_b",out/state/ex_poss/open_a_open_a_peek_a_open_a_peek_a_signal_a_b.dot,6,0
"open_a, open_a, peek_a, open_a, peek_a, signal_a_c",out/state/ex_poss/open_a_open_a_peek_a_open_a_peek_a_signal_a_c.dot,6,0
"open_a, open_a, peek_a, open_a, peek_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_peek_a.dot,5,0
"open_a, open_a, peek_a, open_a, shout_tail_a, open_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_shout_tail_a_open_a.dot,6,0
"open_a, open_a, peek_a, open_a, shout_tail_a, peek_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_shout_tail_a_peek_a.dot,6,0
"open_a, open_a, peek_a, open_a, shout_tail_a, shout_tail_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_shout_tail_a_shout_tail_a.dot,6,0
"open_a, open_a, peek_a, open_a, shout_tail_a, signal_a_b",out/state/ex_poss/open_a_open_a_peek_a_open_a_shout_tail_a_signal_a_b.dot,6,0
"open_a, open_a, peek_a, open_a, shout_tail_a, signal_a_c",out/state/ex_poss/open_a_open_a_peek_a_open_a_shout_tail_a_signal_a_c.dot,6,0
"open_a, open_a, peek_a, open_a, shout_tail_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_shout_tail_a.dot,5,0
"open_a, open_a, peek_a, open_a, signal_a_b, distract_a_b",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_b_distract_a_b.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_b, distract_b_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_b_distract_b_a.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_b, open_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_b_open_a.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_b, peek_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_b_peek_a.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_b, shout_tail_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_b_shout_tail_a.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_b, signal_a_c",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_b_signal_a_c.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_b, signal_b_c",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_b_signal_b_c.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_b",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_b.dot,5,0
"open_a, open_a, peek_a, open_a, signal_a_c, distract_a_c",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_c_distract_a_c.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_c, distract_c_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_c_distract_c_a.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_c, open_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_c_open_a.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_c, peek_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_c_peek_a.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_c, shout_tail_a",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_c_shout_tail_a.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_c, signal_a_b",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_c_signal_a_b.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_c, signal_c_b",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_c_signal_c_b.dot,6,0
"open_a, open_a, peek_a, open_a, signal_a_c",out/state/ex_poss/open_a_open_a_peek_a_open_a_signal_a_c.dot,5,0
"open_a, open_a, peek_a, open_a",out/state/ex_poss/open_a_open_a_peek_a_open_a.dot,4,0
"open_a, open_a, peek_a, peek_a, open_a, open_a",out/state/ex_poss/open_a_open_a_peek_a_peek_a_open_a_open_a.dot,6,0
"open_a, open_a, peek_a, peek_a, open_a, peek_a",out/state/ex_poss/open_a_open_a_peek_a_peek_a_open_a_peek_a.dot,6,0
"open_a, open_a, peek_a, peek_a, open_a, shout_tail_a",out/state/ex_poss/open_a_open_a_peek_a_peek_a_open_a_shout_tail_a.dot,6,0
"open_a, open_a, peek_a, peek_a, open_a, signal_a_b",out/state/ex_poss/open_a_open_a_peek_a_peek_a_open_a_signal_a_b.dot,6,0
"open_a, open_a, peek_a, peek_a, open_a, signal_a_c",out/state/ex_poss/open_a_open_a_peek_a_peek_a_open_a_signal_a_c.dot,6,0
"open_a, open_a, peek_a, peek_a, open_a",out/state/ex_poss/open_a_open_a_peek_a_peek_a_open_a.dot,5,0
"open_a, open_a, peek_a, peek_a, peek_a, open_a",out/state/ex_poss/open_a_open_a_peek_a_peek_a_peek_a_open_a.dot,6,0
